row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
461,14,131,127,0,18,0,0,0,0,845
462,53,93,88,0,24,0,0,0,0,88
463,20,96,91,0,20,0,0,0,0,88
464,15,110,103,0,14,0,0,0,0,88
465,18,120,122,0,88,0,0,0,0,88
466,18,120,122,0,88,0,0,0,0,88
467,4,126,123,0,28,0,0,0,0,88
468,14,131,127,0,18,0,0,0,0,88
469,53,93,88,0,24,0,0,0,0,904
470,20,96,91,0,20,0,0,0,0,904
471,15,110,103,0,14,0,0,0,0,904
472,18,120,122,0,88,0,0,0,0,904
473,18,120,122,0,88,0,0,0,0,904
474,4,126,123,0,28,0,0,0,0,904
475,14,131,127,0,18,0,0,0,0,904
476,53,93,88,0,24,0,0,0,0,638
477,20,96,91,0,20,0,0,0,0,638
478,15,110,103,0,14,0,0,0,0,638
479,18,120,122,0,88,0,0,0,0,638
480,18,120,122,0,88,0,0,0,0,638
481,4,126,123,0,28,0,0,0,0,638
482,14,131,127,0,18,0,0,0,0,638
483,53,93,88,0,24,0,0,0,0,799
484,20,96,91,0,20,0,0,0,0,799
485,15,110,103,0,14,0,0,0,0,799
486,18,120,122,0,88,0,0,0,0,799
487,18,120,122,0,88,0,0,0,0,799
488,4,126,123,0,28,0,0,0,0,799
489,14,131,127,0,18,0,0,0,0,799
490,53,93,88,0,24,0,0,0,0,522
491,20,96,91,0,20,0,0,0,0,522
492,15,110,103,0,14,0,0,0,0,522
493,18,120,122,0,88,0,0,0,0,522
494,18,120,122,0,88,0,0,0,0,522
495,4,126,123,0,28,0,0,0,0,522
496,14,131,127,0,18,0,0,0,0,522
497,53,93,88,0,24,0,0,0,0,19
498,20,96,91,0,20,0,0,0,0,19
499,15,110,103,0,14,0,0,0,0,19
500,18,120,122,0,88,0,0,0,0,19
501,18,120,122,0,88,0,0,0,0,19
502,4,126,123,0,28,0,0,0,0,19
503,14,131,127,0,18,0,0,0,0,19
504,75,59,54,0,94,0,0,0,0,386
505,23,104,100,0,25,0,0,0,0,306
506,53,93,88,0,24,0,0,0,0,1201
507,20,96,91,0,20,0,0,0,0,1201
508,15,110,103,0,14,0,0,0,0,1201
509,18,120,122,0,88,0,0,0,0,1201
510,4,126,123,0,28,0,0,0,0,1201
511,14,131,127,0,18,0,0,0,0,1201
512,53,93,88,0,24,0,0,0,0,707
