row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
1692,2051,4280,5254,0,5079,0,0,0,5901,28,5079,0,11917
1693,7412,8896,11555,0,4471,0,0,0,1713,36,4471,0,8586
1694,2130,4076,4928,0,8471,0,0,0,8450,60,8471,0,2061
1695,7064,7321,9485,0,6976,0,0,0,575,60,6976,0,1830
1696,4999,8862,11475,0,10158,0,0,0,7691,45,10158,0,9416
1697,8266,157,167,0,7724,0,0,0,6039,35,7724,0,1039
1698,7013,4462,5570,0,577,0,0,0,6220,20,577,0,2447
1699,5787,9649,12834,0,11617,0,0,0,9559,37,11617,0,9436
1700,1268,5285,6813,0,10407,0,0,0,1499,54,10407,0,11710
1701,646,9174,12019,0,1233,0,0,0,1290,48,1233,0,3037
1702,8186,7877,10164,0,8661,0,0,0,6068,71,8661,0,1196
1703,7543,5758,7448,0,2749,0,0,0,10743,30,2749,0,5143
1704,10529,5185,6691,0,6318,0,0,0,2999,29,6318,0,8691
1705,6309,4474,5600,0,9926,0,0,0,9198,54,9926,0,7948
1706,2971,324,354,0,2549,0,0,0,396,31,2549,0,1870
1707,4451,9451,12476,0,3835,0,0,0,2419,18,3835,0,2598
1708,11935,3436,4088,0,1463,0,0,0,10658,28,1463,0,5540
1709,10051,5457,7048,0,9863,0,0,0,10336,54,9863,0,11136
1710,8564,318,348,0,1466,0,0,0,6500,54,1466,0,1057
1711,6463,1777,2005,0,3597,0,0,0,10089,55,3597,0,4608
1712,10479,6935,8986,0,3668,0,0,0,10326,45,3668,0,27
1713,1014,8493,10950,0,2327,0,0,0,4292,2,2327,0,9879
1714,9547,3895,4662,0,3136,0,0,0,4976,28,3136,0,1158
1715,8456,6003,7765,0,9171,0,0,0,10762,47,9171,0,8583
1716,7501,9989,13445,0,991,0,0,0,9727,36,991,0,10042
1717,474,6880,8923,0,12345,0,0,0,3946,53,12345,0,4067
1718,2637,3187,3783,0,1208,0,0,0,9394,28,1208,0,12798
1719,5763,8336,10762,0,267,0,0,0,9053,17,267,0,9122
1720,2278,5310,6849,0,619,0,0,0,6619,27,619,0,11019
1721,11932,4138,5007,0,8637,0,0,0,11100,104,8637,0,5542
1722,12156,2161,2481,0,10397,0,0,0,9141,34,10397,0,4536
1723,8676,9638,12811,0,12307,0,0,0,6124,27,12307,0,3860
1724,7621,9406,12408,0,4024,0,0,0,1049,54,4024,0,7134
1725,4684,9598,12734,0,1523,0,0,0,10389,12,1523,0,8286
1726,5112,8389,10820,0,1150,0,0,0,5155,60,1150,0,8625
1727,5962,9547,12654,0,11117,0,0,0,9916,30,11117,0,9058
1728,5675,5272,6797,0,9601,0,0,0,11325,45,9601,0,232
1729,9676,552,606,0,10940,0,0,0,1044,42,10940,0,1254
1730,10125,2909,3448,0,3494,0,0,0,5203,26,3494,0,13207
1731,3352,9399,12383,0,7595,0,0,0,9763,104,7595,0,6819
1732,5493,9075,11857,0,588,0,0,0,196,82,588,0,8958
1733,4301,7421,9609,0,11680,0,0,0,7096,35,11680,0,9267
1734,2818,5022,6480,0,2572,0,0,0,8423,60,2572,0,3469
1735,10845,6091,7880,0,10552,0,0,0,6375,18,10552,0,5736
1736,8119,5557,7185,0,10880,0,0,0,2836,12,10880,0,2676
1737,9867,2223,2562,0,9209,0,0,0,6392,22,9209,0,3070
1738,4539,9056,11824,0,2256,0,0,0,10152,29,2256,0,3712
1739,7289,9778,13133,0,12265,0,0,0,9637,115,12265,0,7735
1740,10516,5765,7460,0,12395,0,0,0,9693,37,12395,0,7863
1741,11126,9650,12841,0,11084,0,0,0,2746,53,11084,0,11762
1742,3839,7137,9256,0,10726,0,0,0,6486,31,10726,0,2397
1743,6819,4286,5264,0,3677,0,0,0,2566,11,3677,0,3888
1744,4764,8399,10834,0,6196,0,0,0,11180,71,6196,0,8833
1745,12370,3585,4293,0,3411,0,0,0,4621,15,3411,0,11008
1746,6902,2708,3198,0,727,0,0,0,9780,71,727,0,12546
1747,12070,259,281,0,8478,0,0,0,2502,50,8478,0,738
1748,74,1098,1214,0,10583,0,0,0,11117,60,10583,0,10475
1749,6931,724,806,0,6908,0,0,0,10612,45,6908,0,404
1750,3900,5213,6725,0,6421,0,0,0,11063,39,6421,0,7122
1751,12670,9569,12677,0,8690,0,0,0,3964,7,8690,0,10380
1752,5196,6075,7860,0,9701,0,0,0,4814,31,9701,0,993
1753,9250,2828,3349,0,5017,0,0,0,5878,19,5017,0,4674
1754,11750,6594,8556,0,21,0,0,0,3617,38,21,0,6312
1755,8860,9661,12868,0,495,0,0,0,8287,27,495,0,8737
1756,11276,9651,12842,0,11587,0,0,0,1842,21,11587,0,9437
1757,2962,9513,12583,0,8356,0,0,0,8592,12,8356,0,9582
1758,3671,9425,12434,0,4124,0,0,0,4925,54,4124,0,10317
1759,11440,4573,5797,0,11513,0,0,0,409,60,11513,0,7952
1760,4491,5457,7046,0,4759,0,0,0,2916,36,4759,0,8518
1761,8235,3268,3875,0,1901,0,0,0,2249,8,1901,0,7751
1762,2838,5990,7746,0,4515,0,0,0,5503,39,4515,0,11462
1763,12603,6244,8074,0,1817,0,0,0,7120,40,1817,0,11647
1764,6092,4899,6326,0,7831,0,0,0,3761,66,7831,0,5664
1765,4208,5920,7647,0,12269,0,0,0,1890,60,12269,0,9190
1766,10684,9611,12761,0,2545,0,0,0,2223,49,2545,0,118
1767,4775,2627,3092,0,2222,0,0,0,9118,43,2222,0,6476
1768,2152,9906,13338,0,4214,0,0,0,10550,54,4214,0,7309
1769,10854,9830,13236,0,7234,0,0,0,10578,71,7234,0,8778
1770,9000,9658,12857,0,2145,0,0,0,10053,27,2145,0,3411
1771,11931,2820,3339,0,6700,0,0,0,11100,41,6700,0,5532
