row_id,name,startdate,enddate,description,offers,page_url
788,70,397,366,3815,0,612
789,669,264,252,2377,0,2471
790,131,395,366,4289,1,3299
791,786,483,446,967,1,385
792,891,382,537,1266,1,823
793,609,414,383,3011,1,554
794,1182,423,394,3316,0,1633
795,761,307,291,2461,1,1541
796,1194,477,437,355,0,4284
797,797,455,419,3723,1,178
798,1124,478,442,3429,0,1615
799,1112,527,480,1649,0,4618
800,1237,559,521,3013,1,2133
801,945,445,415,2116,1,2221
802,1155,345,326,439,0,1547
803,1207,247,237,256,1,3254
804,160,183,199,571,1,1731
805,676,448,414,3577,1,1420
806,507,411,389,1827,0,2974
807,105,453,415,1936,0,3344
808,952,290,276,4006,1,5098
809,447,50,50,1545,1,542
810,141,587,535,3638,0,4362
811,1055,456,419,3775,0,1662
812,19,621,559,505,0,2185
813,573,315,299,4216,1,5014
814,532,519,475,4449,1,3494
815,837,256,249,2459,0,2513
816,1147,472,435,1954,1,1585
817,976,128,133,1283,0,1268
818,423,374,354,4046,1,5004
819,224,629,567,3390,0,1366
820,158,203,202,4755,0,3857
821,657,500,463,949,0,299
822,7,547,499,845,0,3118
823,1002,403,370,3066,1,5109
824,39,523,535,1818,0,1178
825,629,194,192,1983,1,1929
826,919,429,397,2999,0,4265
827,1138,445,415,1171,0,866
828,1262,14,12,3559,0,499
829,847,213,210,1253,0,1238
830,298,409,376,3338,1,1779
831,21,526,485,270,0,1327
832,425,195,191,428,0,1433
833,453,388,362,3063,0,1485
834,1269,236,225,2200,1,1331
835,1240,466,433,913,1,316
836,457,234,226,4064,1,4959
837,702,410,378,3353,1,1940
838,1128,200,198,3225,1,2208
839,169,89,92,540,1,4258
840,821,623,563,2555,0,720
841,14,471,433,2464,0,2563
842,104,478,440,472,0,196
843,174,497,459,2030,1,1600
844,743,513,479,3990,1,4670
845,890,373,352,1312,0,850
846,1207,247,237,257,1,3936
847,1296,495,457,3874,1,189
848,270,129,133,4008,0,4897
849,312,502,462,608,1,666
850,1147,472,435,1934,1,22
851,163,337,323,3954,1,4930
852,570,252,244,1666,1,644
853,335,496,455,22,1,2379
854,693,265,257,4049,1,4706
855,1240,466,433,2767,1,4461
856,1019,496,456,3627,0,1588
857,694,614,548,441,0,1511
858,622,465,433,1965,1,2461
859,4,431,397,4086,1,4981
860,1091,180,178,171,1,4616
861,816,505,462,4877,0,4139
862,817,457,420,210,0,1962
863,543,445,410,269,1,3992
864,786,483,446,1248,1,1223
865,169,89,92,542,1,219
866,882,44,43,2623,0,1220
867,1166,36,35,1648,0,4176
868,817,457,420,1038,0,387
869,885,495,455,2106,1,2972
870,340,131,135,1086,1,4919
871,1116,279,488,620,0,2324
872,1081,294,281,4116,0,5120
873,936,120,123,2912,1,924
874,846,486,451,1893,0,2746
875,27,466,427,3708,0,3048
876,930,485,445,2001,0,1995
