row_id,name,startdate,location,description,offers,page_url
365,2386,992,0,3720,0,3150
366,3349,1488,0,1230,0,3345
367,256,1069,0,3536,0,4580
368,3070,1687,6,1533,1,353
369,3112,812,0,1591,1,2900
370,1969,515,0,3019,0,3043
371,1525,1551,6,1669,1,150
372,552,728,0,3180,0,2952
373,274,459,6,392,1,946
374,2069,1504,6,2769,1,563
375,2716,1196,0,4571,0,1076
376,1332,977,0,3663,0,1178
377,3448,1728,0,1432,0,2034
378,2016,573,0,4602,1,2726
379,3215,769,0,457,0,3419
380,1913,369,0,3737,0,3670
381,1351,538,0,4028,0,4083
382,3491,123,0,1442,0,4272
383,1831,1203,6,2419,1,698
384,1697,225,0,984,0,1622
385,3579,1013,0,4044,0,3937
386,3101,1590,6,1534,1,471
387,178,1063,6,2436,1,209
388,2538,169,0,2818,0,1043
389,672,876,0,727,0,1746
390,1947,992,0,88,0,3187
391,2723,1548,6,4251,1,739
392,2388,1745,6,4513,1,909
393,3047,1577,6,4617,1,81
