row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
2162,920,1553,1666,1,2455,0,3506
2163,481,1932,2072,0,1165,0,877
2164,2764,2319,2486,0,2713,0,3567
2165,1057,2649,2831,0,777,0,3942
2166,2069,2373,2536,0,1873,0,4204
2167,4364,2576,2757,0,3353,0,6011
2168,4252,27,27,0,3233,0,227
2169,2316,735,740,0,3588,0,5036
2170,2091,3873,4260,0,2953,0,5849
2171,1462,2498,2666,0,2171,0,2864
2172,3314,2701,2891,0,1065,0,4566
2173,3417,3145,3368,0,3131,0,5455
2174,3963,3312,3547,0,1150,0,4378
2175,3945,2177,2345,0,2883,0,4649
2176,1749,1138,1173,0,3270,0,4352
2177,4071,717,720,0,2792,0,4184
2178,1351,2040,2208,1,1355,0,593
2179,196,2465,2633,0,165,0,5423
2180,2704,3855,4232,0,2247,0,467
2181,2508,3536,3818,0,2986,0,1212
2182,1128,3684,4014,0,2541,0,5107
2183,1762,755,761,0,3272,0,1558
2184,2573,270,270,0,1703,0,2035
2185,3135,11,11,0,2982,0,222
2186,1137,975,1000,0,2908,0,4409
2187,2383,3496,3768,0,2028,0,4515
2188,1057,2613,2793,0,777,0,3912
2189,4364,2893,3093,0,3353,0,6067
2190,2080,2696,2881,0,1948,0,3472
2191,204,1376,1450,0,2446,0,2492
2192,3975,537,543,1,2548,1,515
2193,3071,1853,1984,0,2713,0,994
2194,1590,2927,3128,0,989,0,1978
2195,4607,944,987,0,286,0,1958
2196,3600,1386,1466,0,2684,0,4114
2197,590,3543,3830,0,1052,0,4557
2198,1770,3729,4074,0,1162,0,4968
2199,3412,3804,4164,0,2312,0,5887
2200,4045,1979,2154,1,2356,1,683
2201,648,3913,4311,1,2554,1,4123
2202,4591,2018,2169,0,1120,0,1288
2203,4212,3458,3717,1,216,1,3025
2204,3795,1929,2070,0,1711,0,1661
2205,1054,1649,1760,0,808,0,5200
2206,2572,1216,1266,0,922,0,5122
2207,1521,2220,2390,0,1367,0,5279
2208,1273,3829,4200,0,1484,0,1266
2209,3462,3906,4301,0,284,0,1259
2210,1592,3875,4262,0,988,0,19
2211,1057,2642,2824,0,777,0,3935
2212,1593,2538,2706,0,985,0,3823
2213,2461,3379,3624,0,1260,0,4394
2214,4025,3531,3814,0,2880,0,3232
2215,165,933,954,0,218,0,2906
2216,2583,114,113,0,883,0,244
2217,4062,3647,3967,0,1741,0,2406
2218,971,2541,2713,0,814,0,2567
2219,2589,2352,2512,0,2147,0,4564
2220,1137,955,976,0,2908,0,4405
2221,2293,2046,2199,0,1849,0,859
2222,2167,3161,3387,0,3278,0,2639
2223,3938,3430,3683,0,3255,0,5687
2224,3214,501,505,1,2517,1,1469
2225,1092,3204,3443,0,1311,0,3696
2226,2996,2936,3139,0,3121,0,3427
2227,111,2745,3441,0,1141,0,4858
2228,4260,2478,2648,0,3284,0,2663
2229,3342,2359,2525,0,3579,0,5127
2230,2911,2255,2425,0,2236,0,5307
2231,3343,2995,3211,0,1939,0,3756
2232,3016,532,538,0,321,0,4880
2233,1485,3679,4007,0,2762,0,3664
2234,2194,2162,2328,0,3537,0,4545
2235,662,859,877,0,547,0,598
2236,2567,169,170,0,49,0,708
2237,2101,3292,3532,0,515,0,1169
2238,483,3994,4411,0,1203,0,3165
2239,475,3334,3570,0,1107,0,4762
2240,2285,591,593,0,461,0,827
2241,2670,1761,1877,0,1078,0,3715
2242,2334,3553,3845,0,3188,0,432
2243,1010,3994,4411,1,915,0,1087
2244,4192,866,884,0,779,0,197
2245,626,400,400,0,49,0,477
2246,1811,1455,1541,0,2614,0,2042
2247,1046,1508,1599,0,898,0,5120
2248,602,3994,4411,0,3458,0,3383
2249,544,3721,4061,0,1422,0,5926
2250,3812,3610,3919,0,3243,0,376
2251,531,92,92,0,1826,0,916
2252,2792,3003,3215,0,982,0,1457
2253,605,1589,1698,0,2628,0,2045
2254,2509,2148,2314,0,1259,0,3285
2255,1224,117,117,0,1759,0,957
2256,297,2825,3314,0,3396,0,2992
2257,4370,471,472,0,3379,0,514
2258,2426,3505,3776,0,2116,0,1207
2259,1365,307,308,0,3208,0,1732
2260,4230,2188,2355,0,3094,0,5261
2261,858,367,367,0,2094,0,336
2262,1366,302,303,0,3207,0,1731
2263,4331,3994,4411,1,732,0,2746
2264,2504,2532,2703,0,3001,0,2630
2265,3694,1186,1236,0,2994,0,2786
2266,4364,2669,2857,0,3353,0,6028
2267,2673,1280,1344,0,3502,0,4809
2268,4217,919,946,0,3091,0,4581
2269,1955,3674,3999,0,746,0,4802
2270,1057,2595,2774,0,777,0,3901
2271,2840,3848,4225,0,2759,0,4336
2272,4364,2678,2866,0,3353,0,6030
2273,3348,3493,3758,0,2781,0,2078
2274,3864,121,121,0,77,0,2161
2275,4339,1195,1244,0,3346,0,5166
2276,2516,2103,2327,0,3048,0,1707
2277,4410,1165,1208,0,2183,0,554
2278,3421,3353,3592,0,1143,0,1755
2279,2074,651,653,0,1627,0,1150
2280,1294,1206,1254,0,966,0,5744
2281,3170,1942,2086,0,3489,0,1967
2282,947,3631,3946,0,2795,0,5840
2283,1203,2085,2254,0,280,0,5812
2284,4256,183,184,0,312,0,2445
2285,261,905,927,0,169,0,5142
2286,3776,2479,2655,0,2710,0,5659
2287,4364,2820,3014,0,3353,0,6039
2288,1696,3571,3863,0,785,0,120
2289,1084,2942,3145,0,1097,0,2847
2290,2016,3565,3855,0,1628,0,1948
2291,3133,3390,3636,0,2660,0,5760
2292,1853,2355,2515,0,1075,0,4948
2293,3323,3410,3663,0,2525,0,4494
2294,3089,2564,2740,0,2800,0,4741
2295,4437,2060,2219,0,3493,0,2495
2296,670,3660,3982,0,235,0,3326
2297,4448,2852,3049,0,2783,0,3514
2298,1057,2588,2767,0,777,0,3894
2299,1057,2592,2771,0,777,0,3898
2300,2615,2435,2600,0,1177,0,4686
2301,4364,2880,3083,0,3353,0,6061
2302,4524,3994,4411,1,390,0,4242
2303,1309,847,873,0,2757,0,1307
2304,2409,1176,1220,0,1667,0,4849
2305,2508,3683,4008,0,2986,0,1230
2306,3845,21,21,0,2191,0,224
2307,3098,2196,2363,0,2358,0,5269
2308,1781,2291,2474,0,1145,0,2547
2309,46,1325,1390,0,113,0,4168
2310,3275,3218,3450,0,2800,0,4750
2311,171,3893,4281,0,2228,0,5809
2312,85,3493,3756,0,2797,0,3349
2313,4364,2832,3026,0,3353,0,6045
2314,2108,742,747,0,2547,0,734
2315,4593,3829,4200,0,1097,0,163
2316,2581,3597,3905,0,2099,0,436
2317,3067,3277,4256,1,1889,1,1875
2318,4495,199,199,0,398,0,1124
2319,3787,708,713,0,2052,0,1392
2320,3264,1575,1688,0,1357,0,4932
2321,3131,752,758,0,1065,0,1959
2322,4489,2050,2205,0,2627,0,2052
