row_id,name,startdate,enddate,description,eventattendancemode,offers,performer,url,page_url
477,4282,617,619,559,0,0,0,0,4882
478,5664,1087,1090,4820,0,1,0,0,584
479,475,1256,1262,206,0,1,0,0,1003
480,2200,1670,1681,3114,0,0,0,0,2818
481,2870,1076,1078,4343,0,1,0,0,3463
482,4036,1407,1417,1268,0,1,0,0,4632
483,587,399,400,1413,0,0,0,0,1112
484,5350,1279,1285,3906,0,1,0,0,159
485,849,1473,1483,4533,0,1,0,0,1369
486,2425,1978,1990,191,0,0,0,0,3021
487,4155,1063,1065,5558,0,1,0,0,4746
488,4579,1382,1392,861,0,1,0,0,5195
489,5449,186,187,622,0,1,0,0,361
490,745,452,453,323,0,0,0,0,1269
491,3383,1775,1786,5666,0,0,0,0,3962
492,4828,2129,2142,5242,0,0,0,0,5410
493,1092,1088,1091,4856,0,1,0,0,1679
494,1363,2105,2118,5210,0,0,0,0,1962
495,2143,1820,1832,4123,0,1,0,0,2738
496,727,1702,1713,1455,0,0,0,0,1255
497,1032,1579,1588,4734,0,0,0,0,1568
498,3806,1126,1131,5244,0,1,0,0,4397
499,422,1642,1652,2865,0,1,0,0,930
