name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12840,-1,1,-1,-1,5661,-1,-1,-1,1,-1
12841,-1,1,-1,3954,5662,-1,-1,-1,1,3928
12842,-1,1,-1,3955,5663,-1,-1,-1,1,3929
12843,-1,1,-1,-1,5664,-1,-1,-1,1,-1
12844,-1,1,-1,-1,5665,-1,-1,-1,1,-1
12845,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12846,-1,1,-1,3956,-1,-1,-1,-1,1,3930
12847,-1,1,-1,-1,5666,-1,-1,-1,1,-1
12848,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12849,-1,1,-1,-1,5667,-1,-1,-1,1,-1
12850,-1,1,-1,3957,-1,-1,-1,-1,1,3931
12851,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12852,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12853,-1,1,-1,-1,-1,826,-1,-1,1,-1
12854,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12855,-1,1,-1,3958,5668,-1,-1,-1,1,3932
12856,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12857,-1,1,-1,3959,5669,-1,-1,-1,1,3933
12858,-1,1,-1,3960,5670,-1,-1,-1,1,3934
12859,-1,1,-1,3961,5671,-1,-1,-1,1,3935
12860,-1,1,-1,3962,5672,-1,-1,-1,1,3936
12861,-1,1,-1,-1,5672,-1,-1,-1,1,-1
12862,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12863,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12864,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12865,-1,1,-1,-1,-1,827,-1,-1,1,-1
12866,-1,1,-1,3963,5673,-1,-1,-1,1,3937
12867,-1,1,-1,-1,-1,828,-1,-1,1,-1
12868,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12869,-1,1,-1,3964,5674,-1,-1,-1,1,3938
12870,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12871,-1,1,-1,3965,5675,-1,-1,-1,1,3939
12872,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12873,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12874,-1,1,-1,3966,5676,-1,-1,-1,1,3940
12875,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12876,-1,1,-1,3967,5677,829,-1,-1,1,3941
12877,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12878,-1,1,-1,3968,5678,-1,-1,-1,1,3942
12879,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12880,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12881,-1,1,-1,-1,-1,-1,-1,-1,1,-1
