recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,1859,-1,1294,-1,-1,1787,389,0,-1,0,0
0,0,-1,1860,-1,1295,1447,-1,1788,389,0,-1,0,0
0,0,-1,1861,-1,1296,1448,-1,1789,-1,0,-1,0,0
0,0,-1,1862,-1,1296,1449,-1,1790,389,0,-1,0,0
0,0,-1,1863,-1,1297,1450,-1,1791,389,0,-1,0,0
0,0,-1,1864,-1,1297,1451,-1,1792,389,0,-1,0,0
0,0,-1,1865,-1,1298,1452,-1,1793,389,0,-1,0,0
0,0,-1,1866,-1,1299,1453,-1,1794,389,0,-1,0,0
0,0,-1,1867,-1,1300,1454,-1,1795,389,0,-1,0,0
0,0,-1,1868,-1,1301,-1,-1,1796,-1,0,-1,0,0
0,0,-1,1869,-1,1302,1455,-1,1797,390,0,-1,0,0
0,0,-1,1870,-1,1303,1456,-1,1798,391,0,-1,0,0
0,0,-1,1871,-1,1304,1457,-1,1799,391,0,-1,0,0
0,0,-1,1872,-1,1304,1458,-1,1800,391,0,-1,0,0
0,0,-1,1873,-1,1305,-1,-1,1801,391,0,-1,0,0
0,0,-1,1874,-1,1306,1459,-1,1802,391,0,-1,0,0
0,0,-1,1875,-1,1307,-1,-1,1803,392,0,-1,0,0
0,0,-1,1876,-1,1308,1459,-1,1804,393,0,-1,0,0
0,0,-1,1877,-1,1309,-1,259,1805,393,0,-1,0,0
0,0,-1,1878,-1,1310,1460,-1,1806,393,0,-1,0,0
0,0,-1,1879,-1,1311,-1,-1,1807,393,0,-1,0,0
0,0,-1,1880,-1,1312,-1,260,1808,393,0,-1,0,0
0,0,-1,1881,-1,1312,1461,261,1809,394,0,-1,0,0
0,0,-1,1882,-1,1313,1462,-1,1810,395,0,-1,0,0
0,0,-1,1883,-1,1313,1463,-1,1811,395,0,-1,0,0
0,0,-1,1884,-1,1314,1463,-1,1812,395,0,-1,0,0
0,0,-1,1885,-1,1315,1464,-1,1813,395,0,-1,0,0
0,0,-1,1886,-1,1316,1465,261,1814,396,0,-1,0,0
0,0,-1,1887,-1,1317,-1,-1,1815,397,0,-1,0,0
0,0,-1,1888,-1,1318,1466,-1,1816,397,0,-1,0,0
0,0,-1,1889,-1,1319,1466,-1,1816,397,0,-1,0,0
0,0,-1,1890,-1,1319,1467,-1,1817,397,0,-1,0,0
0,0,-1,1891,-1,1320,1468,-1,1818,397,0,-1,0,0
0,0,-1,1892,-1,1320,1469,262,1819,397,0,-1,0,0
0,0,-1,1893,-1,1321,1470,-1,1820,397,0,-1,0,0
0,0,-1,1894,-1,1321,-1,263,1821,397,0,-1,0,0
0,0,-1,1895,-1,1322,-1,-1,1822,397,0,-1,0,0
0,0,-1,1896,-1,1323,1471,-1,1823,397,0,-1,0,0
0,0,-1,1897,-1,-1,1472,-1,1824,397,0,-1,0,0
0,0,-1,1898,-1,1323,1473,-1,1825,397,0,-1,0,0
0,0,-1,1899,-1,1324,1474,-1,1826,397,0,-1,0,0
0,0,-1,1900,-1,1324,1475,264,1827,397,0,-1,0,0
0,0,-1,1901,-1,1324,1476,-1,1828,397,0,-1,0,0
0,0,-1,1902,-1,1324,1477,-1,1829,397,0,-1,0,0
0,0,-1,1903,-1,1325,-1,265,1830,397,0,-1,0,0
0,0,-1,1904,-1,1326,1478,-1,1831,397,0,-1,0,0
0,0,-1,1905,-1,1326,1479,-1,1832,397,0,-1,0,0
0,0,-1,1906,-1,1326,-1,265,1833,397,0,-1,0,0
0,0,-1,1907,-1,1327,1480,266,1834,397,0,-1,0,0
0,0,-1,1908,-1,1328,1481,-1,1835,397,0,-1,0,0
0,0,-1,1909,-1,1329,1482,-1,1836,397,0,-1,0,0
0,0,-1,1910,-1,1330,-1,267,1837,397,0,-1,0,0
0,0,-1,1911,-1,1331,1483,-1,1838,397,0,-1,0,0
0,0,-1,1912,-1,1332,1484,-1,1839,397,0,-1,0,0
